Year,Seasonal_Fertilizer_Use_kg_per_ha
2007,161.5
2008,174.275
2009,113.25
2010,154.125
2011,153.8
2012,150.725
2013,156.3375
2014,131.1875
2015,103.75
2016,196.75
2017,169.775
2018,132.3375
2019,102.9625
2020,120.6
2021,148.6125
2022,152.4375
2023,131.825
