Year,Yield_tons_per_acre
2024,18
2023,18
2022,15
2021,21
2020,18
2019,20
2018,16
2017,22
2016,17
2015,21
2014,22
2013,19
2012,19
2011,12
2010,18
2009,21
2008,21
2007,23
2006,15
2005,20
2004,23
2003,18
2002,18.5
2001,17
2000,20
