Year,Season_Average_Temp
2003,74.0
2004,74.86
2005,73.75
2006,74.72
2007,74.74
2008,72.26
2009,76.15
2010,73.18
2011,74.49
2012,74.1
2013,75.16
2014,73.33
2015,73.48
2016,73.01
2017,74.89
2018,75.69
2019,73.98
2020,74.49
2021,74.42
2022,74.92
